game,TCHI,SCHI,JAPA,KORE,RUSS,MEAN
Apex Legends,18.3,14.5,14.8,1.7,-3.7,9.1
Counter-Strike 2,-9.1,-20.4,-8.4,2.9,-0.3,-7.1
Delta Force,9.8,7.7,7.1,-0.5,7.8,6.4
Destiny 2,-9.0,-9.2,-0.4,1.7,4.9,-2.4
Marvel Rivals,3.8,2.0,11.0,-1.0,4.7,4.1
Overwatch 2,4.9,15.8,-11.5,-11.0,-3.4,-1.0
PUBG BATTLEGROUNDS,-2.3,-2.0,0.2,-7.9,-9.2,-4.2
Rainbow Six Siege,-11.7,-11.1,-0.2,-0.6,-4.9,-5.7
THE FINALS,4.8,-3.9,6.9,12.9,2.4,4.6
THE FIRST DESCENDANT,2.3,18.7,1.8,12.0,1.3,7.2
Team Fortress 2,-17.5,-18.7,-10.3,-1.8,-6.2,-10.9
Warframe,-11.3,3.0,-2.5,0.5,0.3,-2.0
