game,asian_developed,english_rate,english_n,tchinese_n,tchinese_rate,tchinese_gap,schinese_n,schinese_rate,schinese_gap,japanese_n,japanese_rate,japanese_gap,koreana_n,koreana_rate,koreana_gap,russian_n,russian_rate,russian_gap
Apex Legends,False,0.765507358258686,450786,35278,0.40058960258518056,36.491775567350544,270591,0.44653739407445187,31.896996418423413,13100,0.5004580152671756,26.50493429915104,18112,0.7184187279151943,4.708863034349164,114328,0.7602162199986006,0.5291138260085426
Black Myth Wukong,True,0.9379349882474345,87215,10883,0.9313608380042268,0.6574150243207733,1056432,0.9692332303451618,-3.129824209772736,669,0.7802690582959642,15.766592995147032,3749,0.8906375033342224,4.729748491321207,13516,0.9061112755253034,3.1823712722131137
Counter-Strike 2,False,0.8597669569708531,2617714,43754,0.7682040499154363,9.15629070554168,1413296,0.8904461627288268,-3.067920575797367,11362,0.8267910579123394,3.2975899058513725,26054,0.7999923236355262,5.977463333532695,2720774,0.8205800996334132,3.9186857337439984
Delta Force,False,0.6557792951477986,68979,1252,0.3753993610223642,28.037993412543443,61772,0.4049731269830991,25.080616816469952,1680,0.46785714285714286,18.79221522906558,4515,0.6305647840531562,2.5214511094642456,8598,0.5359385903698535,11.984070477794518
Destiny 2,False,0.7951076773017788,389590,4825,0.7032124352331606,9.18952420686182,98465,0.7134311684354847,8.167650886629406,1105,0.6823529411764706,11.275473612530817,14554,0.7474233887591041,4.76842885426747,45430,0.7038080563504292,9.129962095134958
Marvel Rivals,False,0.7661007287707007,301741,2594,0.5454895913646878,22.06111374060129,18293,0.5722407478270377,19.385998094366297,966,0.5393374741200828,22.676325465061787,2171,0.745278673422386,2.0822055348314716,13144,0.6772671941570299,8.883353461367083
NARAKA BLADEPOINT,True,0.8108606385653231,23866,4040,0.7435643564356436,6.7296282129679525,252577,0.7188105013520629,9.205013721326017,379,0.6490765171503958,16.178412141492725,1107,0.8075880758807588,0.32725626845643285,5936,0.7668463611859838,4.401427737933927
Overwatch 2,False,0.4094915095114595,170426,6075,0.17843621399176954,23.105529551969,145471,0.07760309614974806,33.18884133617115,4311,0.4073300858269543,0.2161423684505226,6078,0.4891411648568608,-7.964965534540131,21344,0.4019396551724138,0.7551854339045705
PUBG BATTLEGROUNDS,False,0.6629262282731052,451284,32706,0.5033327218247416,15.959350644836356,1402437,0.5096300225963805,15.329620567672475,6029,0.5437054237850389,11.922080448806627,150796,0.7112124990052786,-4.82862707321734,345994,0.7134372272351543,-5.051099896204914
Rainbow Six Siege,False,0.819637600430866,813246,18113,0.7547065643460498,6.49310360848162,199083,0.756593983413953,6.304361701691297,5603,0.7048009994645725,11.483660096629345,52584,0.7957363456564734,2.3901254774392533,105900,0.82657223796034,-0.6934637529473986
THE FINALS,False,0.8045234453027219,158198,2115,0.5739952718676123,23.052817343510956,25720,0.6701010886469674,13.442235665575453,1229,0.6183889340927583,18.61345112099636,4990,0.6450901803607214,15.94332649420005,27873,0.7389229720518065,6.560047325091545
THE FIRST DESCENDANT,False,0.6372734914088004,51157,2277,0.4321475625823452,20.51259288264552,17298,0.277026245808764,36.02472456000364,945,0.5026455026455027,13.462798876329774,7086,0.48645215918712953,15.082133222167087,10727,0.5827351542835835,5.4538337125216945
Team Fortress 2,False,0.9001261906974427,742527,6384,0.8925438596491229,0.7582331048319846,19591,0.9136338114440304,-1.3507620746587734,1907,0.8856843209229156,1.4441869774527105,13684,0.8873867290266004,1.2739461670842278,180257,0.920130702275085,-2.000451157764227
Warframe,False,0.918849609193572,301428,9440,0.8492584745762712,6.959113461730071,133128,0.7152740219938706,20.357558719970136,1964,0.8263747454175153,9.247486377605663,11208,0.8832976445396146,3.555196465395738,77584,0.8742524231800372,4.4597186013534795
