recommendationid,language,voted_up,timestamp_created,timestamp_updated,playtime_at_review_min,playtime_forever_min,num_games_owned,num_reviews_by_author,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,review_text
195739869,english,1,1748314457,1748314457,336,1687,0,24,0,0,0.5,0,1,0,0,"apek breketek ketek, apek! bau ketek"
185373710,english,1,1736621731,1736621731,189,297,0,4,0,0,0.4761904776096343,0,1,0,0,its a really fun game for fps shooters and movement!
176066024,english,0,1727662697,1727662697,27723,27979,0,2,1,0,0.4879795312881469,0,1,0,0,its bad now
233567072,english,1,1787544320,1787544320,1043,1890,44,9,0,0,0.5,0,1,0,0,"pretty good game, you either get put in braindead lobbies or the sweatiest players ever. awesome game tho."
169622203,english,0,1720726986,1720726986,72436,133797,0,1,3,0,0.521619141101837,0,1,0,0,"this game broken, and respawn change the battle pass??? Really?? I don't play this game next season because battle pass its last what kept me in this broken game."
198265698,english,1,1751025865,1751025865,3173,4057,0,2,0,1,0.5,0,1,0,0,fun game
178472014,english,1,1730848738,1730848738,19670,45309,0,1,0,0,0.5,0,1,0,0,its fun
193797295,english,1,1745871081,1745871081,132359,201765,0,3,0,0,0.5,1,1,0,0,its nice
188951484,english,1,1740751139,1740751139,3020,3180,0,1,0,0,0.5,0,1,0,0,"it is hard to get good at the game i will admit but that does not mean much considering i'm a new player , i got this game to play games and to get better at first person games as i lack in that skill set but i would encourage new players to plaay with friends as in the end its worth it , keep trying , keep playing and u will get better :)"
213935668,english,0,1766428683,1783815600,14748,18463,0,21,0,0,0.5,0,1,0,0,"- Garbage matchmaking - Terrible playerbase - New characters and cosmetics take forever to unlock without spending money - Bloated install size due to numerous updates - Multiple characters are obnoxiously stereotyped based on race or culture - Devs repeatedly say ""we recognize XYZ is a problem and we are absolutely going to fix it"" before invariably making it even worse - Excellent level and sound design"
186994914,english,0,1738504337,1738504337,121,121,46,7,0,0,0.4782608747482299,0,1,0,0,TRA SIIN MÄNGUS NII PALJU HIGISI ON??? TEHKE TRA SKILL BASE MATCHMAKING KORDA
169788128,english,0,1720894552,1720894552,53,53,415,24,2,0,0.5091164112091064,0,1,0,0,EA
173366011,english,1,1724607747,1724607747,33192,36595,0,1,0,0,0.5,0,1,0,0,my life is meaningless since i got my 20 bomb badge
223951458,english,0,1776997608,1776997608,1224,1879,0,1,1,0,0.5238095521926879,0,1,0,0,a lot of hackers and unfair matchmaking
174766967,english,1,1726103584,1726103584,54079,82865,0,3,1,0,0.5238095521926879,0,1,0,0,game good
230397386,english,1,1783965734,1783965734,1398,2295,11,1,0,0,0.5,0,1,0,0,"This is a horrible game, yet I'm still playing"
223047958,english,1,1775935961,1775935961,1245,6315,36,14,0,0,0.5,0,1,0,0,"hard but really fun game ngl, downloaded it 7 years later and the game is still fun!"
213693288,english,1,1766200561,1766200561,1198,6860,114,18,0,0,0.5,0,1,0,0,"its whatever. will never be season 1-5 again but detaching it from that, its just a battle royal that plays fine.  "
182847071,english,1,1734295949,1734295949,16061,31542,108,10,0,0,0.5,0,1,0,0,.
178491712,english,0,1730886106,1730886116,197,197,1125,20,4,0,0.5215857625007629,0,1,0,0,Dropped linux support
188086403,english,1,1739749558,1739749558,16799,20429,39,7,0,0,0.5,0,1,0,0,chill ape sex
170331339,english,0,1721493589,1721493589,49123,54990,32,1,1,0,0.5238095521926879,0,1,0,0,"Forget the problems with the aggressive monetization and battle pass changes.    This game is a hot pile of garbage anyways.    I don't just mean from a technical standpoint, like random unfixable packet loss issues that only happen with this game, the audio engine being unpredictable, randomly unable to launch the game after an update, having performance problems,  or the game randomly disconnects you mid match with errors that go away after a restart.    I'm not even talking about the cheater problem.    The core problem is that the team of DESIGNERS working on this game are bunch of incompetent idiots only rivaling the ones working at Ubisoft on some titles.    I cannot even begin listing all the fundamental design issues this game has.  The game is shallow, full of uncounterable crowd control effects, poor balancing, way too big luck factor, awful matchmaking, and so on.  If you enjoy a good competition, stay away. The game takes any opportunity to crush any form of skill expression, and skill gap, with annoying skilles effects.  If you enjoy a good casual experience, stay away. This is a PvP game. You will not have any luck.    The TLDR is that this game is made for no one. It's not for people who like a competitive experience, and it's not for casuals either."
183309746,english,1,1734806420,1734806420,72,72,106,34,1,0,0.5238095521926879,0,1,0,0,"[h1] I like it. Good Night, Good Luck. [/h1]    Nobody will read my review so I Will do 10 push ups Every Like this gets.    "
231167935,english,0,1784859482,1784859482,1743,4221,0,2,0,0,0.5,0,1,0,0,this game has taken countless hours of my life on console (over 2k) and im sure ill sink more in on PC. it is genuinely hell on earth and ea are the most greedy pieces of ♥♥♥♥ ever. still love it tho so we good <3
166299410,english,1,1717016944,1752766248,35168,35168,333,50,0,0,0.5,0,1,0,0,DONT START. im too far gone  3/5 worst titanfall2
175296940,english,1,1726744023,1726744023,2514,2609,33,12,0,0,0.5,0,1,0,0,its ok
188709260,english,1,1740467400,1740467400,37577,52639,0,3,0,0,0.5,0,1,0,0,luv it  
232366476,english,1,1786212949,1786212949,22663,23159,0,1,0,0,0.5,0,1,0,0,thx 4 the heirloom
171571167,english,0,1722972593,1722972593,9590,36992,72,5,2,0,0.5238095521926879,0,1,0,0,Finnaly they managed to destroy this game too. thank god!
234189532,english,1,1788209206,1788209206,22747,23509,0,4,0,0,0.5,0,1,0,0,.
170553856,english,1,1721741997,1765888220,23084,24380,70,6,0,0,0.5,0,1,0,0,终于更新的有游戏体验了
228744230,english,1,1782334859,1782334859,1278,4045,0,1,0,0,0.5,0,1,0,0,good game
222738611,english,0,1775568126,1775568126,2014,2023,0,1,0,0,0.5,0,1,0,0,Black screen bug
169998354,english,0,1721135841,1721135841,22365,22365,262,13,3,0,0.5370003581047058,0,1,0,0,There is no chicken in the game
205427782,english,1,1759090699,1759090699,1137,1313,58,4,0,0,0.5,0,1,0,0,yes
210314978,english,0,1764048085,1764048085,12342,16387,0,1,0,0,0.5,0,1,0,0,♥♥♥♥♥♥♥ hate it. but i still play it
194383039,english,1,1746578112,1746578112,4445,29757,0,1,1,0,0.4950759708881378,0,1,0,0,very good game
175047593,english,1,1726428056,1726428056,7358,8818,0,1,0,0,0.5,0,1,0,0,very fun game
224670011,english,1,1777807826,1777807826,12021,17501,0,6,0,0,0.5,0,1,0,0,Hell
207586225,english,1,1761428969,1761428969,300,8543,21,1,0,0,0.5,0,1,0,0,The game is fun sometimes but is trash due to the tryhards
196202406,english,0,1748821124,1748821124,1060,1060,308,127,1,0,0.5180723071098327,0,1,0,0,"Incompetent trash devs and publisher blaming linux as if that's the issue and not their complete laziness, wholesale ineptitude, and utter greediness."
169936277,english,1,1721059804,1764444433,112162,133423,8,1,1,0,0.5081090927124023,0,1,0,0,I am happy that dev's are working on players concern's but matching has bemake much more wrost if this will prolong player will leave the game.
213298032,english,0,1765735424,1765735424,82458,82458,0,11,2,0,0.5057033896446228,0,1,0,0,"I've been playing since season one, across multiple platforms: PS4, Switch, and PC. It's been a fun few years. It has been my go-to after the deaths of the Titanfall and Halo franchises, and I've had a love/hate relationship with Apex for a long time. When this game started it was crazy. Every new addition was over-powered, every new thing was fun, and the ""meta"" was a concept far from my casual attitude towards the game. But as the game has progressed, it's left its casual players behind, and I get a sinking feeling that half of the people I face are using some sort of cheating software or mods to their keyboard to make impossible movement possible. Or, they're semi-pro. I love the drops, I love the weapons, I love the gameplay. I love the maps, and the scenery. I love the awesome abilities of the legends. But most every time I get into a firefight, the person in front does a three directional move in the air several times before my second shot has been fired. Or sometimes, I get shot in the skull three times from a Wingman cross map, when I can't even see the opponent through my scoped rifle. It's not an instant death for me: I know how the game works. I never give up, in game, and am long past the point of rage-quitting. But it isn't fun for me anymore. I'm not whining, because I don't want the game to change. I think I've just been addicted to it for a long time, and I think I'm past the place where I need to move on, as a casual player (and someone who knows everything about Apex, but doesn't reach out of gold ever). Wildcard was my jam for a while, but even that feels kinda like slamming into the opponent every two seconds and hoping that they break first. And that's cool! But...its just not fun for me anymore. My recommendation is to anyone thinking of trying Apex: It looks cool and flashy and feels great, but I don't think you'll have fun. Or you'll be like me and get an unhealthy addiction to it, and only get on to be frustrated. For those of you who still play, power to you. I hope you're having fun. I sure did. And if anyone happens to read this, please give me a recommendation for a new addictive game."
186132973,english,0,1737523548,1737523548,2218,2218,0,3,1,0,0.4814814925193786,0,1,0,0,yall wanna be fortnite huh? why is there a sword people can pick up block bullets with and just mash you? like most games good when it came out and you ruined it
185042034,english,0,1736276716,1736276716,44445,114634,0,14,6,0,0.5491803288459777,0,1,0,0,Dogwater game.
229773361,english,1,1783350256,1783350256,8646,21440,0,1,0,0,0.5,0,1,0,0,the best movement mechanics i've seen in a BR game
166413906,english,1,1717182602,1717182602,16786,41402,23,1,0,0,0.5,0,1,0,0,chew
173794024,english,0,1725015202,1743658898,111750,130931,0,30,4,0,0.5374228358268737,0,1,0,0,"[update 2025-04-03] It's worse now. After 6 months I gave it another chance after reading dev posts about fixing matchmaking. As an average player, I can barely win a 1v1 against a diamond player, 1 out of 5 times. Now all my lobbies are full of master and even pred banners, both ranked AND mix. You think cheaters are bad? You think gamepad players with legal aimbot autoaim are bad? Hold my beer. Try playing against elites who mastered this game. It doesn't matter anymore if they play with you or against you, nothing you do matters, nothing. If you manage to win, it feels worse than having your team wiped on landing by one player. And sitting on top of it all is the dingleberry crowning this turd pie, the rank spread ribbon, dishonest, misleading and fake, it hides the lobby's actual skill spread behind the meaningless rank badges of the current season, which get reset all the time. Serves me right for believing their lies I guess.  skinner box matchmaking  After playing this game for so many hours, I noticed that matchmaking system behaves like a skinner box for players. To make the game as addictive as possible, you use random intermittent rewards in the form of good matches. A good match doesn't mean you win. Winning a match full of newbie teams feels as bad as being put into a shark tank full of multi-season preds, and so does being put together with a pro who carries you the entire match. A good match is when you get to play with people close to your skill level, give or take, when the match feels fair and that you had a chance. This is what a skill based matchmaking system would do. Apex Legends matchmaking doesn't do that. What it does, is no matter if you play unranked, ranked, ranked right after a reset, or ranked 2-3 weeks in, it places you into bad matches most of the time, with a few good matches sprinkled in strategically here and there. If you're playing semi-regularly, you can almost plot an exponential decay curve of good matches after every 1-2 week break you take, or after a new rank reset: in the beginning almost half of the matches is good, but the more you play, the worse the ratio becomes, until you can spend an entire evening and not even get one match that feels fair. Take a break for a week or two, the curve resets, you get more good matches again. After playing this game for many years, the pattern is as obvious and predictable as clockwork. How does it achieve this? There are two factors that have a huge impact on how good the match will be for a solo player: his teammates, and the other 19 teams that make up a battle royale match. The matchmaking system controls both. Players who party up still leave 19 teams to be chosen by the system, so even if you stack up a good party, the system can put you against a match of stacked preds, and there's nothing you can do, barring dumb luck.  I was going to mention rampant cheating, both hack-based stuff like aimbots and maphacks, and ""legal"" cheats like exploited aim assists and modded macro-gamepads, but who cares? If you aren't a very skilled player, like I am, what difference does it make if the system put you with top 0.1% honest pro player preds or with aimbot cheaters? Both wipe the floor with you, and both will just run forward and kill everything ahead when they're in your team.  Given these issues, the paid battle pass ""controversy"" feels  astroturfed. Apex Legends has what felt like the best multiplayer FPS mechanics in years, it's such a shame that its owners have a need to recoup the costs by designing such a hostile matchmaking system that exploit players. I would have preferred them making it an honest paid game, subscription or one time."
178280326,english,0,1730596913,1730596913,3909,3909,1158,6,4,0,0.529411792755127,0,1,0,0,"60+ hours on Steam version but have more on EA/Origin.   Respawn removing support for Linux and Steam Deck because they have to include kernel level anti cheat is lazy and wrong. You supported Linux for so long and you’ll pull the rug because Linux is “full of cheats and exploits”? Regardless of that, which I doubt is true (would love to see some metrics behind that), the Linux playerbase is in no way the largest. So at the end of the day, this is about Respawn and EA not really being committed to reduce cheating and more about them having to do less work.   I hope the Linux players who have spent money on this game find a way to get refunded now that support is pulled."
221545840,english,1,1774323035,1774323035,69888,91463,0,1,0,0,0.5,0,1,0,0,esta bueno
183661487,english,0,1735140789,1735140789,5958,6207,71,8,0,0,0.5,0,1,0,0,this game is the reason why the players are hated.
203363288,english,1,1756782312,1756782312,287,303,0,3,0,0,0.5,0,1,0,0,yeah
173259818,english,1,1724527943,1724527943,3930,23892,0,4,0,0,0.5,0,1,0,0,i love the game
208441654,english,0,1762306462,1762306462,568,640,0,3,2,0,0.52173912525177,0,1,0,0, i get raped every game i play
194914612,english,1,1747271089,1747271089,8300,24592,14,2,0,0,0.5,0,1,0,0,
167989078,english,0,1719132092,1719132092,1244,6833,0,1,0,0,0.5,0,1,0,0,game ♥♥♥♥
209754632,english,1,1763718872,1763718872,8507,20303,10,1,0,0,0.5,0,1,0,0,very fun to play and at a point you think your good and then get absolutely railed by someone with over 1k hours  
180574463,english,1,1732823706,1732823706,6,10,0,1,0,0,0.5,0,1,0,0,good
234124975,english,1,1788134380,1788134380,1060,2179,0,9,0,0,0.5,0,1,0,0,LOVE THISSSS GAMEEEEEEEEEEE
170195666,english,0,1721340452,1721340452,22,22,0,5,1,0,0.5289855003356932,0,1,0,0,Played since day 1. Focus on money grabs over the big issues in this game is not good. Game is on a bad state and all they do is try to find ways to extract money from people.
168995581,english,0,1720118394,1722281875,19550,21552,0,1,0,0,0.5,0,1,0,0,"The game crashes and dc's me, then penalizes me after it f's up trying to reconnect to a match?  Worthless.  After most recent July 2024 news on upcoming battle pass changes (despite the followup that they were adding 950ac purchase back in, plus promises of more meaningful rewards), I think it's time to reclaim some hard drive space.  Imo, they could've focused on many other things vs this split battle pass change as many other reviews have mentioned."
169687887,english,1,1720795038,1750036771,16560,21555,510,118,0,0,0.510869562625885,0,1,0,0,I don't play this game anymore ;)
220624497,english,1,1773465644,1773465644,29842,35043,166,4,0,0,0.5,0,1,0,0,Good
168047183,english,0,1719184382,1719184382,42882,52094,0,8,1,1,0.5238095521926879,0,1,0,0,nah
165310401,english,0,1715637336,1715637336,3929,27663,0,1,1,0,0.5238095521926879,9,1,0,0,"If you enjoy getting banned for making snark remarks in chat, while getting into fights with cheaters every match who go unpunished then this horrible EA game is for you! I pray for your mental health if you enjoy this game. 1/10 and that is being generous, Learn to ban hackers EA maybe one day it will be playable at season 47, what a joke"
185332543,english,0,1736585934,1736585934,347,385,0,20,0,0,0.5,0,1,0,0,"This just sucks, can't believe we got this instead of Titanfall 3. How can you make a Titanfall universe game with NO ♥♥♥♥♥♥♥♥ TITIANS."
170377015,english,0,1721545741,1721545741,18432,20568,20,1,1,0,0.5,0,1,0,0,money hungry
172175921,english,1,1723731070,1723731070,1383,3898,131,30,1,0,0.5,0,1,0,0,"Got a cat here. Friends passing by can touch her and click Like to pet her once. Award for good luck, Take My Points for infinite pets :) ( i need points ;-; ) ⠀⠀⠀⠀⠀⠀⠀⠀⠀ ＿＿ 　　　　　／＞　　フ 　　　　　| 　_　 _ l 　 　　　／` ミ＿xノ 　　 　 /　　　 　 | 　　　 /　 ヽ　　 ﾉ 　 　 │　　|　|　| 　／￣|　　 |　|　| 　| (￣ヽ＿_ヽ_)__) 　＼二つ"
231542529,english,1,1785272388,1785272388,67811,70765,0,1,0,0,0.5,0,1,0,0,if u hate urself and got no hope in life play apex
